ID,STATION_ID,CATEGORY,LONGITUDE,LATITUDE,MB_SYMBOL,NAME_ENG,NAME_NAT,SYMBOL,TSO,VISIBLE,VOLTAGE
962,1142,0,40.155029,34.370645,substation,Substation T2, ,Substation, ,1,220
963,1143,0,36.320801,35.648369,substation,Zyzoun PP, ,Substation, ,1,220
964,1144,0,40.847168,36.129002,substation,Tel Hamis Sub, ,Substation, ,1,220
965,1145,0,36.35376,35.746512,substation,Zyzoun, ,Substation, ,1,220
966,1145,0,36.35376,35.746512,substation,Zyzoun, ,Substation, ,1,380
967,1146,0,35.826416,35.612651,substation,Skobeen, ,Substation, ,1,220
968,1147,0,36.35376,35.272532,substation,Salhab, ,Substation, ,1,220
969,1148,0,37.012939,36.368222,substation,Hretan, ,Substation, ,1,220
970,1149,0,36.188965,33.431441,substation,Forsan, ,Substation, ,1,220
971,1150,0,36.210938,32.694866,substation,Garyiah W, ,Substation, ,1,220
972,1151,0,36.870117,34.470335,substation,Jander Power Plant, ,Substation, ,1,220
973,1151,0,36.870117,34.470335,substation,Jander Power Plant, ,Substation, ,1,380
974,1152,0,36.617432,34.660322,substation,Qatteneh, ,Substation, ,1,220
975,1153,0,38.979492,35.969115,substation,Raqqa 1, ,Substation, ,1,220
976,1154,0,38.562012,35.85344,substation,Thawra, ,Substation, ,1,220
977,1154,0,38.562012,35.85344,substation,Thawra, ,Substation, ,1,380
978,1155,0,35.90332,34.894942,substation,Tartous, ,Substation, ,1,220
979,1156,0,35.980225,35.164828,substation,Banias Power Plant, ,Substation, ,1,220
980,1157,0,35.980225,35.398006,substation,Jableh, ,Substation, ,1,220
981,1158,0,35.826416,35.514343,substation,Latakia, ,Substation, ,1,220
6761,7601,,7.63549799999999,36.721274,,,,joint,,,220
6762,7602,,7.51407360651618,36.4206251875124,,,,joint,,,220
982,1159,0,36.760254,34.723555,substation,Ferrouzeh, ,Substation, ,1,220
983,1160,0,36.749268,35.173808,substation,Hama 1, ,Substation, ,1,220
984,1161,0,36.584473,35.263562,substation,Mehrade Power Plant / Sub, ,Substation, ,1,220
985,1162,0,36.661377,34.957995,substation,Zara PP, ,Substation, ,1,220
986,1163,0,36.573486,32.667125,substation,Sweida, ,Substation, ,1,220
987,1164,0,36.112061,32.583849,substation,Daraa, ,Substation, ,1,220
988,1165,0,36.177979,32.833443,substation,Cheick Meskeen, ,Substation, ,1,220
1,2,,43.7146,36.129002,substation,Irbil North, ,Substation,,1,380
989,1166,0,36.254883,33.330528,substation,Kisweh, ,Substation, ,1,220
990,1167,0,36.705322,33.568861,substation,Adra NE -  Ind. 1, ,Substation, ,1,220
2,3,,43.967285,35.46067,substation,Tamem, ,Substation,,1,380
991,1168,0,36.77124,33.806538,substation,Nasrieh, ,Substation, ,1,220
992,1168,0,36.77124,33.806538,substation,Nasrieh, ,Substation, ,1,380
3,4,,44.813232,31.456782,substation,An Nasirriyah, ,Substation,,1,380
4,5,,43.967285,32.184911,substation,Karbala, ,Substation,,1,380
993,1169,0,36.320801,33.26625,substation,Deir Ali Power Plant / Sub, ,Substation, ,1,220
994,1169,0,36.320801,33.26625,substation,Deir Ali Power Plant / Sub, ,Substation, ,1,380
5,6,,44.01123,32.704111,substation,Mussaib, ,Substation,,1,380
6,7,,44.439697,33.449777,substation,Bagdad South, ,Substation,,1,380
7,8,,44.219971,33.806538,substation,Bagdad North, ,Substation,,1,380
995,1170,0,40.770264,36.456636,substation,Hasakeh, ,Substation, ,1,220
8,9,,44.494629,33.715202,substation,Bagdad East, ,Substation,,1,380
996,1171,0,41.187744,36.967449,substation,Qamishly, ,Substation, ,1,220
9,10,,44.088135,33.669497,substation,Bagdad West, ,Substation,,1,380
997,1172,0,38.276367,34.569906,substation,Palmera, ,Substation, ,1,220
998,1172,0,38.276367,34.569906,substation,Palmera, ,Substation, ,1,380
10,11,,45.20874,32.42634,substation,Al Kut, ,Substation,,1,380
11,16,,48.153076,42.032974,substation,Derbent,Дербент,Substation,,1,300
999,1173,0,36.551514,33.614619,substation,Adra, ,Substation, ,1,220
1000,1173,0,36.551514,33.614619,substation,Adra, ,Substation, ,1,380
12,17,,48.88916,41.211722,substation,Khachmas, ,Substation,,1,300
13,18,,44.472656,38.030786,substation,Khoy, ,Substation,,1,380
1001,1174,0,36.331787,33.578015,substation,Mazara, ,Substation, ,1,220
14,19,,43.758545,39.078908,substation,Agri, ,Substation,,1,380
1002,1175,0,36.298828,33.422272,substation,Sbeneh N (M2), ,Substation, ,1,220
6763,7603,,7.9761053553417,36.6945543261351,,,,joint,,,220
6764,7603,,7.9761053553417,36.6945543261351,,,,joint,,,380
15,20,,43.725586,37.848833,substation,Baskale, ,Substation,,1,380
1003,1176,0,36.606445,36.013561,substation,Idlib, ,Substation, ,1,220
16,21,,44.088135,39.707187,substation,Igdir, ,Substation,,1,132
1004,1177,0,37.353516,36.173357,substation,F, ,Substation, ,1,220
1005,1177,0,37.353516,36.173357,substation,F, ,Substation, ,1,380
17,22,,48.482666,41.828642,substation,Belidzhi,Белиджи,Substation,,1,132
1006,1178,0,37.012939,36.261992,substation,H, ,Substation, ,1,220
18,23,,44.813232,39.172659,substation,Babak, ,Substation,,1,132
1007,1179,0,40.100098,35.335293,substation,Deir Al Zoor 1, ,Substation, ,1,220
1008,1179,0,40.100098,35.335293,substation,Deir Al Zoor 1, ,Substation, ,1,380
19,24,,44.527588,38.728376,substation,Bazargan, ,Substation,,1,132
1009,1180,0,40.045166,35.245619,substation,Taiym, ,Substation, ,1,220
