ID,BUS_ID,CAPACITY,CATEGORY,LONGITUDE,LATITUDE,MB_SYMBOL,NAME_ENG,NAME_NAT,SYMBOL,TSO,VISIBLE
497,1421,0,0,8.184814,36.90598,fossil_mixed,Koudiet Eddraouch, ,Mixed fuels, ,1
1,1,-1,,43.681641,36.208823,hydro_ror,Irbil North, ,Hydro run of river & pondage,,1
2,2,-1,,43.846436,35.469618,hydro_ror,Tamem, ,Hydro run of river & pondage,,1
498,1434,0,0,6.16333000000001,36.809285,fossil_mixed_cons,Bellara, ,"Mixed fuels, under construction", ,1
3,3,-1,,44.813232,31.391158,hydro_ror,An Nasirriyah, ,Hydro run of river & pondage,,1
499,613,0,0,6.108398,35.880149,fossil_mixed,Ain Djasser, ,Mixed fuels, ,1
4,4,-1,,43.879395,32.166313,other_nl,Karbala, ,Other or not listed,,1
500,613,0,0,5.932617,35.85344,fossil_mixed_cons,Ain Djasser, ,"Mixed fuels, under construction", ,1
5,5,-1,,43.934326,32.667125,hydro_ror,Mussaib, ,Hydro run of river & pondage,,1
549,1616,198,,-5.438232,40.245992,hydro_ror,Azutan, ,Hydro run of river & pondage,,1
6,28,-1,,43.341064,35.89795,hydro_ror,Mosul, ,Hydro run of river & pondage,,1
501,660,0,0,4.372559,35.684072,fossil_mixed,M'Sila, ,Mixed fuels, ,1
7,30,-1,,43.406982,35.209722,hydro_ror,Baji, ,Hydro run of river & pondage,,1
502,1454,0,0,3.74633799999999,36.870832,fossil_mixed_cons,Ras Djinet, ,"Mixed fuels, under construction", ,1
8,31,-1,,42.253418,34.307144,hydro_ror,Qaim, ,Hydro run of river & pondage,,1
503,1447,0,0,5.31738300000001,36.111253,fossil_mixed_cons,Ain Arnat, ,"Mixed fuels, under construction", ,1
9,39,-1,,34.573975,31.737511,other_nl,Ashkelon, ,Other or not listed,,1
504,122,1595,1,21.96167,40.538852,fossil_brown_lignite,Ag.Dimitrios, ,Brown coal/Lignite,,-1
10,41,-1,,34.683838,31.905541,other_nl,Ashdod, ,Other or not listed,,1
505,124,600,1,21.730957,40.730608,fossil_brown_lignite,Amyndeo, ,Brown coal/Lignite,,-1
